id;name;cost;notes
1;District Handcrafted;50874;Awesome Account
2;iterate;78510;system Assurance
3;invoice;34426;synthesize Baby
4;Producer Future Ramp;17586;B2B object-oriented Polarised
5;Massachusetts Chief Metrics;14743;Analyst input Shirt
6;Gibraltar communities Buckinghamshire;37550;Liechtenstein portals
7;Summit heuristic Frozen;20867;Executive Frozen programming
8;Coordinator empower;94852;Rustic Dynamic quantify
9;out-of-the-box Zloty;97548;grey
10;Synergized motivating Reactive;32827;Cheese
