id;name;talent_name;loyalty;passion;inventory;point_total;spent_points
1;real-time;indexing;New navigate;redundant;transmitting;78985;48214
2;utilize Cambridgeshire Metrics;Tonga GB innovative;toolset;Fish bypassing redefine;Fresh asymmetric solid;97151;7989
3;compress;Generic hack;Cotton leverage Manager;Berkshire Fantastic info-mediaries;invoice;13192;15227
4;Bedfordshire definition auxiliary;withdrawal Car Garden;connect Accountability Village;quantifying;Flats;45487;60894
5;auxiliary Shoes Rupee;Coordinator fuchsia;lavender Bacon;IB Corporate;withdrawal Ville;67597;69725
6;Open-source Iran;Producer Gloves;Dynamic;Music plug-and-play;Licensed e-commerce radical;57487;95375
7;Associate;purple International teal;Developer Wooden;Bahrain;Mexico Venezuela;9826;66933
8;Wallis Bike Berkshire;Quality homogeneous up;Concrete Tactics;Frozen synergistic Forges;solutions;39067;43878
9;Refined;SMS Metrics;full-range Tactics Legacy;up;Salad;30125;26541
10;Fresh Avon Toys;Hawaii;Dinar bluetooth;Garden;primary Granite Central;37187;31788
